epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.6933333277702332,,,
0,99,,,,0.6066666841506958,,,
0,149,,,,0.7733333110809326,,,
0,153,,,,,,0.8165000081062317,0.42196616530418396
0,153,,,0.691043496131897,,0.5673571825027466,,
1,199,,,,0.9133333563804626,,,
1,249,,,,0.8866666555404663,,,
1,299,,,,0.8266666531562805,,,
1,307,,,,,,0.8529999852180481,0.3831794857978821
1,307,,,0.8396521806716919,,0.37536802887916565,,
2,349,,,,0.8666666746139526,,,
2,399,,,,0.8066666722297668,,,
2,449,,,,0.8333333134651184,,,
2,461,,,,,,0.8650000095367432,0.3574184477329254
2,461,,,0.8778695464134216,,0.2932758629322052,,
3,499,,,,0.9399999976158142,,,
3,549,,,,0.8866666555404663,,,
3,599,,,,0.9133333563804626,,,
3,615,,,,,,0.8485000133514404,0.37549927830696106
3,615,,,0.905391275882721,,0.24014508724212646,,
4,649,,,,0.8866666555404663,,,
4,699,,,,0.8933333158493042,,,
4,749,,,,0.9599999785423279,,,
4,769,,,,,,0.8610000014305115,0.36688196659088135
4,769,,,0.9219130277633667,,0.20148536562919617,,
5,799,,,,0.9466666579246521,,,
5,849,,,,0.9200000166893005,,,
5,899,,,,0.9133333563804626,,,
5,923,,,,,,0.8604999780654907,0.3795629143714905
5,923,,,0.9372608661651611,,0.17101268470287323,,
6,949,,,,0.9266666769981384,,,
6,999,,,,0.9733333587646484,,,
6,1049,,,,0.9466666579246521,,,
6,1077,,,,,,0.8629999756813049,0.40096941590309143
6,1077,,,0.9531304240226746,,0.13111013174057007,,
7,1099,,,,0.9866666793823242,,,
7,1149,,,,0.9933333396911621,,,
7,1199,,,,0.9599999785423279,,,
7,1231,,,,,,0.8495000004768372,0.4514116942882538
7,1231,,,0.9669130444526672,,0.09651727229356766,,
8,1249,,,,0.9599999785423279,,,
8,1299,,,,0.9266666769981384,,,
8,1349,,,,0.9599999785423279,,,
8,1385,,,,,,0.8654999732971191,0.4318358898162842
8,1385,,,0.9663478136062622,,0.09900052845478058,,
9,1399,,,,0.9933333396911621,,,
9,1449,,,,0.9733333587646484,,,
9,1499,,,,1.0,,,
9,1539,,,,,,0.8330000042915344,0.5119385719299316
9,1539,,,0.9790869355201721,,0.06593705713748932,,
10,1549,,,,0.9866666793823242,,,
10,1599,,,,0.9933333396911621,,,
10,1649,,,,0.9666666388511658,,,
10,1693,,,,,,0.8769999742507935,0.5001925230026245
10,1693,,,0.980434775352478,,0.06371232122182846,,
11,1699,,,,0.9933333396911621,,,
11,1749,,,,0.9733333587646484,,,
11,1799,,,,0.9599999785423279,,,
11,1847,,,,,,0.871999979019165,0.486969918012619
11,1847,,,0.9808260798454285,,0.06470813602209091,,
12,1849,,,,0.9866666793823242,,,
12,1899,,,,0.9866666793823242,,,
12,1949,,,,1.0,,,
12,1999,,,,1.0,,,
12,2001,,,,,,0.8759999871253967,0.5168722867965698
12,2001,,,0.9900434613227844,,0.03371669724583626,,
13,2049,,,,1.0,,,
13,2099,,,,0.9733333587646484,,,
13,2149,,,,0.9866666793823242,,,
13,2155,,,,,,0.8615000247955322,0.5782468318939209
13,2155,,,0.9895651936531067,,0.03563876077532768,,
14,2199,,,,1.0,,,
14,2249,,,,0.9933333396911621,,,
14,2299,,,,0.9866666793823242,,,
14,2309,,,,,,0.8694999814033508,0.65132737159729
14,2309,,,0.9922608733177185,,0.024671116843819618,,
15,2349,,,,1.0,,,
15,2399,,,,1.0,,,
15,2449,,,,0.9933333396911621,,,
15,2463,,,,,,0.8640000224113464,0.6422764658927917
15,2463,,,0.991826057434082,,0.02618403732776642,,
16,2499,,,,0.9866666793823242,,,
16,2549,,,,1.0,,,
16,2599,,,,0.9800000190734863,,,
16,2617,,,,,,0.8234999775886536,0.6818260550498962
16,2617,,,0.9932608604431152,,0.022582756355404854,,
17,2649,,,,0.9800000190734863,,,
17,2699,,,,1.0,,,
17,2749,,,,0.9866666793823242,,,
17,2771,,,,,,0.8585000038146973,0.7374376058578491
17,2771,,,0.9895217418670654,,0.03394434228539467,,
18,2799,,,,0.9933333396911621,,,
18,2849,,,,1.0,,,
18,2899,,,,0.9733333587646484,,,
18,2925,,,,,,0.8604999780654907,0.6776556372642517
18,2925,,,0.9919130206108093,,0.02547198161482811,,
19,2949,,,,0.9933333396911621,,,
19,2999,,,,0.9933333396911621,,,
19,3049,,,,1.0,,,
19,3079,,,,,,0.8619999885559082,0.7239919304847717
19,3079,,,0.9938260912895203,,0.02089751325547695,,
20,3080,0.8504400253295898,0.7439918518066406,,,,,
